"market","year","pct_worked_from_home","quarter","yearquarter"
"Austin",2020,0.38045505554723,1,"2020Q1"
"Austin",2020,0.38045505554723,2,"2020Q1"
"Austin",2020,0.38045505554723,3,"2020Q1"
"Austin",2020,0.38045505554723,4,"2020Q1"
"Austin",2021,0.339910001682812,1,"2021Q1"
"Austin",2021,0.339910001682812,2,"2021Q1"
"Austin",2021,0.339910001682812,3,"2021Q1"
"Austin",2021,0.339910001682812,4,"2021Q1"
"Austin",2022,0.299270444814965,1,"2022Q1"
"Austin",2022,0.299270444814965,2,"2022Q1"
"Austin",2022,0.299270444814965,3,"2022Q1"
"Austin",2022,0.299270444814965,4,"2022Q1"
"Austin",2023,0.258772642452352,1,"2023Q1"
"Austin",2023,0.258772642452352,2,"2023Q1"
"Austin",2023,0.258772642452352,3,"2023Q1"
"Austin",2023,0.258772642452352,4,"2023Q1"
"Austin",2024,0.218180337086238,1,"2024Q1"
"Austin",2024,0.218180337086238,2,"2024Q1"
"Austin",2024,0.218180337086238,3,"2024Q1"
"Austin",2024,0.218180337086238,4,"2024Q1"
"Chicago",2020,0.244201207156209,1,"2020Q1"
"Chicago",2020,0.244201207156209,2,"2020Q1"
"Chicago",2020,0.244201207156209,3,"2020Q1"
"Chicago",2020,0.244201207156209,4,"2020Q1"
"Chicago",2021,0.212361884613914,1,"2021Q1"
"Chicago",2021,0.212361884613914,2,"2021Q1"
"Chicago",2021,0.212361884613914,3,"2021Q1"
"Chicago",2021,0.212361884613914,4,"2021Q1"
"Chicago",2022,0.177235568953505,1,"2022Q1"
"Chicago",2022,0.177235568953505,2,"2022Q1"
"Chicago",2022,0.177235568953505,3,"2022Q1"
"Chicago",2022,0.177235568953505,4,"2022Q1"
"Chicago",2023,0.147039742970321,1,"2023Q1"
"Chicago",2023,0.147039742970321,2,"2023Q1"
"Chicago",2023,0.147039742970321,3,"2023Q1"
"Chicago",2023,0.147039742970321,4,"2023Q1"
"Chicago",2024,0.11355692386897,1,"2024Q1"
"Chicago",2024,0.11355692386897,2,"2024Q1"
"Chicago",2024,0.11355692386897,3,"2024Q1"
"Chicago",2024,0.11355692386897,4,"2024Q1"
"Dallas",2020,0.180300205941627,1,"2020Q1"
"Dallas",2020,0.180300205941627,2,"2020Q1"
"Dallas",2020,0.180300205941627,3,"2020Q1"
"Dallas",2020,0.180300205941627,4,"2020Q1"
"Dallas",2021,0.166785722397204,1,"2021Q1"
"Dallas",2021,0.166785722397204,2,"2021Q1"
"Dallas",2021,0.166785722397204,3,"2021Q1"
"Dallas",2021,0.166785722397204,4,"2021Q1"
"Dallas",2022,0.146835399918245,1,"2022Q1"
